book_number,book_name,cover,authors,press,publish_year,price,score,tags
1703522,小鬼亮晶晶,https://img3.doubanio.com/view/subject/s/public/s1878743.jpg,席绢,南海出版公司,2005-10-01,12.00, ,席绢|言情|小说|台湾|言情小说|小鬼亮晶晶|席絹|现代
4062809,改善情绪的正念疗法,https://img1.doubanio.com/view/subject/s/public/s4682467.jpg,:马克·威廉姆斯|约翰·蒂斯代尔,中国人民大学出版社,2009-10,39.80, ,心理学|正念疗法|改善情绪|积极心理学|心理|情绪|心理治疗|抑郁症
1048113,闲情偶寄图说(上下),https://img3.doubanio.com/view/subject/s/public/s1035672.jpg,李渔|校注王连海,山东画报出版社,2003-10,56.00, ,李渔|文化|生活方式|园林|古典文学|闲情偶寄|艺术|中国
1441329,Worlds of Exile and Illusion,https://img3.doubanio.com/view/subject/s/public/s1458723.jpg,:UrsulaK.LeGuin,Orb Books,"15 October, 1996",$15.95, ,科幻|勒吉恩|Ursula_LeGuin|Yale-人性
1048130,现代广告学,https://img3.doubanio.com/view/subject/s/public/s2295121.jpg,:苗杰,中国人民大学出版社,1994-05,26.00, ,广告|网考|kdl/lib
1048120,自我认识,https://img3.doubanio.com/view/subject/s/public/s10263831.jpg,:别尔嘉耶夫,广西师范大学出版社,2001-1,24.80, ,哲学|别尔嘉耶夫|传记|思想|自我认识|认识（自我）思想|俄罗斯|哲学类
1048122,北欧电影哲人,https://img1.doubanio.com/view/subject/s/public/s1035679.jpg,:沈语冰,天津社会科学院出版社,2003-11,32.00, ,电影|伯格曼|艺术|英格玛·伯格曼|导演|电影理论|沈语冰|英格玛
1310255,高等数学中的典型问题与解法,https://img3.doubanio.com/view/subject/s/public/s10010922.jpg,:西北工业大学高等数学教研室,,1900-01-01,30.0, ,数学|高等数学中的典型问题与解法|高等数学|问题|解法|考研|2001
1703468,侠客行,https://img3.doubanio.com/view/subject/s/public/s3013832.jpg,金庸|黄玉郎,北方妇女儿童出版社,2005-7-29,93.60, ,金庸|黄玉郎|漫画|武侠|香港漫画|港漫|侠客行|香港
1441340,The Language of the Night,https://img9.doubanio.com/view/subject/s/public/s29586144.jpg,:UrsulaK.LeGuin|SusanWood,Harpercollins,"May, 1992",$20.00, ,科幻|理论|科幻理论|地海|Ursula_Le_Guin|UrsulaKLeGuin|读过其他版本|美国
1048114,你是不会说话的人――一个猫家族的故事,https://img1.doubanio.com/view/subject/s/public/s1327267.jpg,:李靖,作家出版社,2003-10,19.00, ,猫|你是不会说话的人――一个猫家族的故事|动物|生活|猫猫|感动|中国文学|散文
3014203,随机金融基础,https://img3.doubanio.com/view/subject/s/public/s4612242.jpg,:施利亚耶夫,高等教育,2008-1,59.00, ,数学|金融|金融数学|概率论|随机过程|随机|金融工程|俄数学
1048109,第三波,https://img1.doubanio.com/view/subject/s/public/s11308417.jpg,[美]塞缪尔·亨廷顿,上海三联书店,1998-10,23.80, ,政治学|亨廷顿|民主|民主化|政治|第三波|民主化　世界政治|社会学
