book_name,english_name,author,img,publish,price,score,description
白鹿原,,陈忠实 ,https://img9.doubanio.com/view/subject/s/public/s28111905.jpg, 人民文学出版社 , 39.00元,9.2,一轴关于我们民族灵魂的现实主义画卷
文学回忆录（全2册）,,木心 口述 ,https://img1.doubanio.com/view/subject/s/public/s24611679.jpg, 广西师范大学出版社 , 98.00元,9.1,木心留给世界的礼物
艺术的故事,The Story of Art,[英] 贡布里希 (Sir E.H.Gombrich) ,https://img3.doubanio.com/view/subject/s/public/s3219163.jpg, 广西美术出版社 , 280.00,9.6,从最早的洞窟绘画到当今的实验艺术
上帝掷骰子吗,,曹天元 ,https://img9.doubanio.com/view/subject/s/public/s1486674.jpg, 辽宁教育出版社 , 32.00元,9.2,量子物理史话
史记（全十册）,,司马迁 ,https://img9.doubanio.com/view/subject/s/public/s1953384.jpg, 中华书局 , 125.00,9.5,史家之绝唱，无韵之离骚
神雕侠侣,神鵰俠侶,金庸 ,https://img9.doubanio.com/view/subject/s/public/s26018916.jpg, 生活·读书·新知三联书店 , 76.80元,8.9,至情至性，情大于武
悲惨世界（上中下）,Les Misérables,[法] 雨果 ,https://img9.doubanio.com/view/subject/s/public/s4521754.jpg, 人民文学出版社 , 66.00元,9.0,现实主义与浪漫主义的至高杰作
许三观卖血记,,余华 ,https://img3.doubanio.com/view/subject/s/public/s1074291.jpg, 南海出版公司 , 16.80元,8.8,以博大的温情描绘磨难中的人生
哭泣的骆驼,,三毛 ,https://img9.doubanio.com/view/subject/s/public/s1020454.jpg, 哈尔滨出版社 , 15.80元,8.9,沙漠中寻常的生与死
卡拉马佐夫兄弟,Бра́тья Карама́зовы,[俄] 费奥多尔·陀思妥耶夫斯基 ,https://img3.doubanio.com/view/subject/s/public/s2059791.jpg, 上海译文出版社 , 25.00元,9.4,错综复杂的社会、家庭矛盾和人性悲剧
看见,,柴静 ,https://img3.doubanio.com/view/subject/s/public/s24468373.jpg, 广西师范大学出版社 , 39.80元,8.8,在这里看见中国
浪潮之巅,,吴军 ,https://img9.doubanio.com/view/subject/s/public/s6807265.jpg, 电子工业出版社 , 55.00元,9.0,了解IT领域的入门读物
